����,γ��,ҵ��ʱ��,��Ƭ��¼����,��·����,��γ��,�ϳ�վ��,ʵ��վ��
114.06433799999999,22.656986,2014-06-09 10:16,293452445,68·,"114.064338,22.656986",1,37
114.034683,22.642583,2014-06-09 10:21,292190124,68·,"114.034683,22.642583",2,31
114.034683,22.642583,2014-06-09 10:21,321553398,68·,"114.034683,22.642583",2,31
113.94825700000001,22.530096,2014-06-09 10:42,291146968,68·,"113.948257,22.530096",3,5
113.94825700000001,22.530096,2014-06-09 10:42,293122627,68·,"113.948257,22.530096",3,5
114.029754,22.527545,2014-06-09 10:53,322278410,68·,"114.029754,22.527545",4,10
114.036056,22.524547000000002,2014-06-09 10:55,329735636,68·,"114.036056,22.524547",5,11
114.038627,22.523084,2014-06-09 10:56,293001487,68·,"114.038627,22.523084",5,11
113.940483,22.549722,2014-06-09 11:06,23384881,68·,"113.940483,22.549722",6,3
113.940483,22.549722,2014-06-09 11:06,291153811,68·,"113.940483,22.549722",6,3
113.991752,22.525581,2014-06-09 11:21,326926634,68·,"113.991752,22.525581",7,6
114.04706499999999,22.518667,2014-06-09 11:25,327543149,68·,"114.047065,22.518667",8,12
114.075126,22.542928,2014-06-09 11:46,295766237,68·,"114.075126,22.542928",9,17
114.035072,22.6231,2014-06-09 12:05,251385411,68·,"114.035072,22.6231",10,30
114.035072,22.6231,2014-06-09 12:05,293641560,68·,"114.035072,22.6231",10,30
114.03406499999998,22.642652,2014-06-09 12:15,20705404,68·,"114.034065,22.642652",2,31
114.03406499999998,22.642652,2014-06-09 12:15,251377066,68·,"114.034065,22.642652",2,31
114.062446,22.63965,2014-06-09 12:27,330244602,68·,"114.062446,22.63965",11,34
114.05854699999999,22.637849,2014-06-09 12:34,292151123,68·,"114.058547,22.637849",12,33
114.06264399999999,22.639326,2014-06-09 12:36,323160407,68·,"114.062644,22.639326",11,34
114.06264399999999,22.639326,2014-06-09 12:36,328018375,68·,"114.062644,22.639326",11,34
114.06264399999999,22.639326,2014-06-09 12:36,328153060,68·,"114.062644,22.639326",11,34
114.061203,22.648195,2014-06-09 12:39,660062210,68·,"114.061203,22.648195",13,36
114.06542900000001,22.551076000000002,2014-06-09 09:01,328706579,68·,"114.065429,22.551076",20,20
114.04656899999999,22.518995,2014-06-09 09:02,20674536,68·,"114.046569,22.518995",8,12
114.04656899999999,22.518995,2014-06-09 09:02,290458994,68·,"114.046569,22.518995",8,12
114.04656899999999,22.518995,2014-06-09 09:02,290703701,68·,"114.046569,22.518995",8,12
114.06421599999999,22.537551,2014-06-09 09:08,360963590,68·,"114.064216,22.537551",21,15
114.046318,22.519163,2014-06-09 09:25,20184776,68·,"114.046318,22.519163",8,12
114.046318,22.519163,2014-06-09 09:25,290809519,68·,"114.046318,22.519163",8,12
114.029228,22.528411,2014-06-09 09:32,323624317,68·,"114.029228,22.528411",4,10
114.029228,22.528411,2014-06-09 09:32,325696404,68·,"114.029228,22.528411",4,10
114.03469,22.525232,2014-06-09 09:38,23226777,68·,"114.03469,22.525232",5,11
